
SetupTitle, SET+RESET
DataValue, 0.96000000000000008, 6.68567E-05
DataValue, 0.95000000000000007, 6.4737500000000008E-05
DataValue, 0.94000000000000006, 6.24541E-05
DataValue, 0.93, 6.0226600000000004E-05
DataValue, 0.92, 5.8072600000000004E-05
DataValue, 0.91, 5.59942E-05
DataValue, 0.9, 5.4074400000000005E-05
DataValue, 0.89, 5.1957400000000005E-05
DataValue, 0.88, 5.00184E-05
DataValue, 0.87, 4.82171E-05
DataValue, 0.86, 4.63587E-05
DataValue, 0.85000000000000009, 4.46014E-05
DataValue, 0.84000000000000008, 4.2871500000000004E-05
DataValue, 0.83000000000000007, 4.11886E-05
DataValue, 0.82000000000000006, 3.95044E-05
DataValue, 0.81, 3.79101E-05
DataValue, 0.8, 3.64894E-05
DataValue, 0.79, 3.50702E-05
DataValue, 0.78, 3.36111E-05
DataValue, 0.77, 3.22756E-05
DataValue, 0.76, 3.1013500000000004E-05
DataValue, 0.75, 2.9790300000000002E-05
DataValue, 0.74, 2.86366E-05
DataValue, 0.73, 2.75567E-05
DataValue, 0.72000000000000008, 2.6460800000000003E-05
DataValue, 0.71000000000000008, 2.54258E-05
DataValue, 0.70000000000000007, 2.44297E-05
DataValue, 0.69000000000000006, 2.3513E-05
DataValue, 0.68, 2.2597700000000002E-05
DataValue, 0.67, 2.1750900000000002E-05
DataValue, 0.66, 2.0910400000000002E-05
DataValue, 0.65, 2.01341E-05
DataValue, 0.64, 1.9386700000000002E-05
DataValue, 0.63, 1.86634E-05
DataValue, 0.62, 1.7990000000000002E-05
DataValue, 0.61, 1.73453E-05
DataValue, 0.6, 1.6707300000000002E-05
DataValue, 0.59000000000000008, 1.60973E-05
DataValue, 0.58000000000000007, 1.55162E-05
DataValue, 0.57000000000000006, 1.49747E-05
DataValue, 0.56, 1.44431E-05
